Time,Score
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
3.25,4
